,dataset_name,model_name,featurizer_name,featurizer_frac,depth,bit,max_depth,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,r2_score_train_true,r2_score_val_true
1589,mercedes,figs,no_featurizer,0.3,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.6803199331088209,0.41227546837630746
1592,airfoil,rf_plus,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.7808093925345443,0.7106230346885904
1593,transaction,figs,no_featurizer,0.7,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.5757651524948983,-0.23760365666892813
1594,transaction,rf_plus,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.3025910490461924,0.17267748277562855
1596,concrete,random_forest,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8225770246811328,0.8196241118494089
1598,ca_housing,rf_plus,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6391815102663034,0.5945081444175164
1599,cpu_act,rf_plus,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9778410716358829,0.9775141962385957
1600,abalone,xgboost,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8615106344223022,0.5020395517349243
1601,airfoil,ft_transformer,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.3796561960404533,0.24501767281202802
1603,abalone,rf_plus,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6123547351023071,0.5300165159839614
1611,ca_housing,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6391815102663034,0.5945081444175164
1613,allstate,rf_plus,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.5058235911955635,0.4774886861613006
1616,concrete,resnet,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6461931938716367,0.6715960966675497
1617,airfoil,xgboost,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9743204885282272,0.9021690030709102
1618,airfoil,ft_transformer,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.43572986411828496,0.33450151176330345
1620,transaction,rf_plus,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.2740454766564109,0.16678199164682384
1627,parkinsons,ft_transformer,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8059963139440594,0.7894554383216442
1628,parkinsons,figs,no_featurizer,0.7,3,1,1,50,30,l0l2,0.0,l0l2,0.0,0.8974051152809523,0.8705647198511582
1630,abalone,ft_transformer,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.4715328812599182,0.4491104483604431
1632,parkinsons,ft_transformer,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8253974806442193,0.811400660347619
1633,ca_housing,xgboost,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8894601422308204,0.8194929479202618
1635,abalone,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.5775839266594216,0.525124411776533
1636,allstate,figs,no_featurizer,0.7,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.5615925916125858,0.5145164105230554
1637,parkinsons,figs,no_featurizer,0.7,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.8974051152809523,0.8705647198511582
1639,transaction,rf_plus,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.2740454766564109,0.16678199164682384
1640,insurance,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8652096651188181,0.8597207715760915
1641,concrete,figs,no_featurizer,0.3,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9592860579163266,0.9077125698699537
1644,insurance,figs,no_featurizer,0.7,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9382219883222768,0.7626519008419391
1647,allstate,rf_plus,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.5058235911955635,0.4774886861613006
1649,cpu_act,random_forest,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9602782968895587,0.9597451934575514
1653,insurance,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.9237677210733316,0.795520431003822
1654,powerplant,ft_transformer,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9333167928588987,0.9373470976032591
1657,mercedes,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6065306384733282,0.6165579268229178
1659,qsar,random_forest,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.5602289292981452,0.33640850980516035
1660,mercedes,random_forest,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.615458305535474,0.6073033146581965
1661,airfoil,ft_transformer,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.3497177080676238,0.3081332792748813
1662,parkinsons,rf_plus,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6969280453287832,0.6907002349288706
1666,airfoil,resnet,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.46714016580086415,0.3951136796704855
1667,abalone,xgboost,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8615106344223022,0.5020395517349243
1668,abalone,resnet,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.46405404806137085,0.40697747468948364
1670,miami_housing,figs,no_featurizer,0.7,2,0,1,50,30,l0l2,0.0,l0l2,0.0,0.8965452372519747,0.8477722342966206
1672,cpu_act,ft_transformer,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9711747169494629,0.9711232781410217
1676,abalone,ft_transformer,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.4357854723930359,0.43369942903518677
1677,abalone,rf_plus,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6123547351023071,0.5300165159839614
1680,abalone,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.6506614048235951,0.34317921724307077
1682,powerplant,random_forest,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9328881571131005,0.9338115500920526
1683,abalone,random_forest,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.5551683340233804,0.4900573550506545
1686,insurance,figs,no_featurizer,0.7,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.9237677210733316,0.795520431003822
1687,cpu_act,ft_transformer,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9732827544212341,0.9731937050819397
